722.87 Wed Nov  9 16:30:10 2016
718.87 Wed Nov  9 17:00:11 2016
722.22 Wed Nov  9 17:30:08 2016
721.90 Wed Nov  9 18:00:12 2016
722.90 Wed Nov  9 18:30:10 2016
722.90 Wed Nov  9 19:00:10 2016
724.62 Wed Nov  9 19:30:08 2016
724.02 Wed Nov  9 20:00:08 2016
723.04 Wed Nov  9 20:30:09 2016
722.97 Wed Nov  9 21:00:08 2016
722.25 Wed Nov  9 21:30:09 2016
722.31 Wed Nov  9 22:00:12 2016
721.40 Wed Nov  9 22:30:10 2016
721.28 Wed Nov  9 23:00:11 2016
717.36 Wed Nov  9 23:30:09 2016
718.62 Thu Nov 10 00:00:12 2016
717.92 Thu Nov 10 00:30:09 2016
719.17 Thu Nov 10 01:00:12 2016
718.59 Thu Nov 10 01:30:10 2016
716.71 Thu Nov 10 02:00:12 2016
717.03 Thu Nov 10 02:30:11 2016
717.46 Thu Nov 10 03:00:10 2016
720.17 Thu Nov 10 03:30:09 2016
720.39 Thu Nov 10 04:00:09 2016
719.49 Thu Nov 10 04:30:11 2016
719.39 Thu Nov 10 05:00:13 2016
718.19 Thu Nov 10 05:30:11 2016
719.08 Thu Nov 10 06:00:11 2016
719.38 Thu Nov 10 06:30:11 2016
719.81 Thu Nov 10 07:00:12 2016
718.73 Thu Nov 10 07:30:11 2016
716.88 Thu Nov 10 08:00:12 2016
717.24 Thu Nov 10 08:30:10 2016
717.16 Thu Nov 10 09:00:10 2016
714.48 Thu Nov 10 09:30:10 2016
714.86 Thu Nov 10 10:00:09 2016
715.59 Thu Nov 10 10:30:11 2016
715.02 Thu Nov 10 11:00:12 2016
714.88 Thu Nov 10 11:30:10 2016
713.50 Thu Nov 10 12:00:13 2016
715.21 Thu Nov 10 12:30:13 2016
713.56 Thu Nov 10 13:00:11 2016
711.10 Thu Nov 10 13:30:10 2016
714.59 Thu Nov 10 14:00:11 2016
710.49 Thu Nov 10 14:30:09 2016
710.60 Thu Nov 10 15:00:12 2016
711.48 Thu Nov 10 15:30:09 2016
710.72 Thu Nov 10 16:00:09 2016
709.64 Thu Nov 10 16:30:09 2016
711.60 Thu Nov 10 17:00:10 2016
711.65 Thu Nov 10 17:30:09 2016
712.91 Thu Nov 10 18:00:11 2016
714.72 Thu Nov 10 18:30:08 2016
715.12 Thu Nov 10 19:00:10 2016
716.36 Thu Nov 10 19:30:10 2016
717.36 Thu Nov 10 20:00:12 2016
717.35 Thu Nov 10 20:30:09 2016
717.56 Thu Nov 10 21:00:11 2016
716.87 Thu Nov 10 21:30:09 2016
716.85 Thu Nov 10 22:00:12 2016
716.89 Thu Nov 10 22:30:10 2016
716.86 Thu Nov 10 23:00:11 2016
716.26 Thu Nov 10 23:30:09 2016
715.62 Fri Nov 11 00:00:14 2016
714.86 Fri Nov 11 00:30:09 2016
715.06 Fri Nov 11 01:00:12 2016
715.17 Fri Nov 11 01:30:11 2016
715.07 Fri Nov 11 02:00:19 2016
715.68 Fri Nov 11 02:30:18 2016
717.06 Fri Nov 11 03:00:12 2016
716.95 Fri Nov 11 03:30:08 2016
716.16 Fri Nov 11 04:00:12 2016
716.67 Fri Nov 11 04:30:11 2016
717.25 Fri Nov 11 05:00:11 2016
717.35 Fri Nov 11 05:30:09 2016
717.16 Fri Nov 11 06:00:12 2016
717.15 Fri Nov 11 06:30:11 2016
717.19 Fri Nov 11 07:00:15 2016
717.42 Fri Nov 11 07:30:10 2016
717.58 Fri Nov 11 08:00:14 2016
718.07 Fri Nov 11 08:30:10 2016
718.71 Fri Nov 11 09:00:11 2016
718.94 Fri Nov 11 09:30:10 2016
719.50 Fri Nov 11 10:00:09 2016
718.32 Fri Nov 11 10:30:11 2016
715.09 Fri Nov 11 11:00:12 2016
716.03 Fri Nov 11 11:30:10 2016
716.90 Fri Nov 11 12:00:13 2016
716.83 Fri Nov 11 12:30:09 2016
717.23 Fri Nov 11 13:00:10 2016
717.28 Fri Nov 11 13:30:07 2016
716.32 Fri Nov 11 14:00:12 2016
717.13 Fri Nov 11 14:30:10 2016
717.29 Fri Nov 11 15:00:11 2016
716.88 Fri Nov 11 15:30:08 2016
716.64 Fri Nov 11 16:00:11 2016
716.25 Fri Nov 11 16:30:09 2016
716.42 Fri Nov 11 17:00:12 2016
717.10 Fri Nov 11 17:30:10 2016
717.64 Fri Nov 11 18:00:12 2016
716.89 Fri Nov 11 18:30:09 2016
718.50 Fri Nov 11 19:00:11 2016
718.39 Fri Nov 11 19:30:10 2016
718.45 Fri Nov 11 20:00:13 2016
718.59 Fri Nov 11 20:30:10 2016
718.62 Fri Nov 11 21:00:12 2016
718.78 Fri Nov 11 21:30:09 2016
716.81 Fri Nov 11 22:00:11 2016
718.06 Fri Nov 11 22:30:11 2016
717.88 Fri Nov 11 23:00:10 2016
717.50 Fri Nov 11 23:30:09 2016
